Organization Name	Organization Name URL	Full Description	Industries	Website	Headquarters Location	Description	CB Rank (Company)	SEMrush - Monthly Visits	SEMrush - Average Visits (6 months)	SEMrush - Monthly Visits Growth	SEMrush - Visit Duration Growth	SEMrush - Visit Duration	SEMrush - Page Views / Visit	SEMrush - Page Views / Visit Growth	SEMrush - Bounce Rate	SEMrush - Bounce Rate Growth	SEMrush - Global Traffic Rank	SEMrush - Monthly Rank Change (#)	SEMrush - Monthly Rank Growth	Headquarters Regions	Operating Status	Founded Date	Founded Date Precision	Number of Founders	Number of Employees	Founders	Apptopia - Number of Apps	Apptopia - Downloads Last 30 Days	Aberdeen - IT Spend	Aberdeen - IT Spend Currency	Aberdeen - IT Spend Currency (in USD)	PP URL
Credivia	https://www.crunchbase.com/organization/credivia		Cloud Management, Finance, Financial Services, FinTech	https://www.credivia.com	Raleigh, North Carolina, United States	CrediVia offers a cloud platform for lenders and borrowers to connect seamlessly in the form of an online marketplace.	365,232													Research Triangle, East Coast, Southern US	Active	2018-01-01	year		11-50							
Integrated Secure	https://www.crunchbase.com/organization/integrated-secure		Cloud Management, Document Management, Information Technology	http://www.integratedsecure.com/	Spring, Texas, United States	Integrated Secure delivers innovative IT solutions that are handled from planning to delivery for the client's evolving business needs.	368,775													Greater Houston Area, Southern US	Active	2009-01-01	day	0.0	1-10				362642.0	USD	362642.0	
Uhuru Software	https://www.crunchbase.com/organization/uhuru-software	Uhuru Software, Inc. is a new Seattle area start-up that provides comprehensive integrated application development platform, management tools and services to enable rapid development and deployment of solutions in private or public clouds by enterprises and service providers. Uhuru can host applications using almost any language (e.g. Java, Ruby, PHP, Node.js and .NET). Applications in our beta can also use any of the following data services we host – MySQL, Microsoft SQL Server, RabbitMQ, MongoDB and Redis. Spinning up new instances of your applications for greater capacity and fail-over is as easy as clicking a button.   In addition to letting developers publish their own applications Uhuru also has pre-packaged templates for popular applications like Wordpress, Magento and SugarCRM that you can deploy and start using in seconds.   The Uhuru AppCloud service is completely free while it is still in beta. Our commercial launch will be the spring of 2013.	Cloud Computing, Cloud Management, Information Technology, Internet, Software	http://www.uhurusoftware.com	Redmond, Washington, United States	Cloud Management Software Business	371,868													Greater Seattle Area, West Coast, Western US	Closed	2011-01-01	year	2.0	11-50	Jawad Khaki, Jawaid Ekram						
CloudBlazer	https://www.crunchbase.com/organization/cloudblazer		Business Development, Cloud Management, Group Buying, Professional Services, Sales Automation	https://cloudblazer.us	Charlotte, North Carolina, United States	CloudBlazer is an IT consulting company that provides cloud solutions, customer acquisition, and growth support.	372,144													East Coast, Southern US	Active				11-50							
Indigo Arc	https://www.crunchbase.com/organization/indigo-arc		Cloud Management, Consulting, Information Services	https://www.indigoarc.com	Gaithersburg, Maryland, United States	Indigo Arc provides consulting services & cloud solutions like cyber security, cloud strategy, machine learning and AI and others.	380,709													Washington DC Metro Area, East Coast, Southern US	Active	2004-10-22	day	2.0	11-50	Rajiv Dewan, Steven Goldstein			96921.0	USD	96921.0	
Cloud24x7	https://www.crunchbase.com/organization/cloud24x7		Cloud Management, Cyber Security, IT Management, Network Security	https://www.cloud24x7.us	Fort Lauderdale, Florida, United States	Cloud24x7 is an IT consultancy that provides cybersecurity, cloud, managed IT solutions and network infrastructure.	382,024													Greater Miami Area, East Coast, Southern US	Active	2016-01-01	year		11-50				20454.0	USD	20454.0	
Biztera	https://www.crunchbase.com/organization/biztera		Cloud Management, Information Technology, Software	https://biztera.com	San Francisco, California, United States	Biztera is an IT company that develops customized cloud platforms to optimize management processes for organizations.	384,071													San Francisco Bay Area, West Coast, Western US	Active	2013-01-01	year		11-50							https://biztera.com/privacy
Convergent	https://www.crunchbase.com/organization/convergent-ff09		Cloud Management, Cyber Security, Data Center, Information Technology	https://askconvergent.com/	Bethlehem, Pennsylvania, United States	Convergent is an IT solution provider that specializes in unified communication, data center, cybersecurity and cloud management services.	392,095													Great Lakes, Northeastern US	Active								453423.0	USD	453423.0	https://askconvergent.com/privacy-policy/
PowerCloud Systems	https://www.crunchbase.com/organization/powercloud-systems	PowerCloud Systems is the leading software platform provider for enabling Networking as a Service (NaaS). Our CloudCommand technology provides OEMs and service providers with the quickest, most powerful and cost-effective path for adding comprehensive cloud capabilities to their new and existing networking equipment. CloudCommand delivers everything needed to deploy, configure, secure and manage any type of networking device. We're working with the world's leading networking vendors to power their wireless access points and routers, and delivering cloud-managed networking to thousands of organizations.	Cloud Computing, Cloud Management, Software, Web Hosting, Wireless	http://www.powercloudsystems.com	Palo Alto, California, United States	PowerCloud Systems provides cloud-managed networking device software for original equipment manufacturers.	394,313													San Francisco Bay Area, Silicon Valley, West Coast	Active	2008-01-01	year	2.0	11-50	Andrea Peiro, Jeff Abramowitz						
Telco Holdings	https://www.crunchbase.com/organization/telco-holdings	Telco Holdings provides technical, economic, and strategic business resources, their services include cyber security, networking, communications, IT services, cloud, consulting, SIEM, internet solutions, internet solutions, unified communications, voice solutions, contact center, managed hosting, help desk, network storage, IT staff augmentation, network assessments.	Cloud Management, Communications Infrastructure, Consulting, Cyber Security, Information Technology, Network Security	https://www.thincforward.com	West Chester, Pennsylvania, United States	Telco Holdings is a technology and business advisory group.	397,709													Greater Philadelphia Area, Great Lakes, Northeastern US	Active	1901-01-01	year		101-250							
Akada Software	https://www.crunchbase.com/organization/akada-software		Cloud Management, Software, Web Apps	https://www.akadasoftware.com	Sarasota, Florida, United States	Akada Software is a software company that provides a dance studio management platform, cloud registration and online payment solutions.	398,269													East Coast, Southern US	Active	1994-01-01	year		1-10							
Enovvio	https://www.crunchbase.com/organization/enovvio	At Enovvio, we believe knowledge is the best tool to drive progress. We are a data security, technology, and information sources company that leverages data from the largest renewed information and technology companies that have been in the market for decades. We combine innovation and technology for smarter insights and smarter decisions.	Cloud Management, Cloud Security, Consulting, Cyber Security, Information Technology, IT Management, Network Security, Software	https://enovvio.com	New York, New York, United States	Data security, Information and technology	398,603													Greater New York Area, East Coast, Northeastern US	Active	2021-11-16	day		11-50							https://enovvio.com/privacy-policy-3/
