Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Number of Employees,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth
Satellite AV,https://www.crunchbase.com/organization/satellite-av,2001-01-01,year,11-50,,https://satelliteav.com/,"Productivity Tools, Satellite Communication, Telecommunications","Roseville, California, United States","Satellite AV is a customer service and products firm of telecommunication goods such as commercial decoders, dishes and satellite packages.","1,820,421",,,,,,,,,,,,
American Diamond Tool,https://www.crunchbase.com/organization/american-diamond-tool,2001-01-01,year,11-50,"American Diamond Tool is equipped with an on-site test drill laboratory. The laboratory is used for performance evaluation of new in-house product designs such as drill bits, PDC cutters, and other downhole tooling. This test facility has been made available to the industry on a daily rental basis. Their professionals, through their in-depth knowledge of the drilling industry, will provide expertise to help solve their specific challenges.",https://www.americandiamondtool.net,"Customer Service, Machinery Manufacturing, Productivity Tools, Supply Chain Management, Technical Support","Salt Lake City, Utah, United States",American Diamond Tool is a company that makes precision drilling equipment.,"1,819,449",,,,,,,,,,,,
Salamander Technologies Inc,https://www.crunchbase.com/organization/salamander-technologies-inc,2001-01-01,year,11-50,"Salamander Technologies offers a web-based tool that provides access to TAG, TRACK, & REPORT anywhere. They have the ability to be utilized offline by quickly creating IDs and easily analyze, manage, and reposition available resources.",https://www.salamanderlive.com/,"Developer Tools, Event Management, Productivity Tools, Software","Traverse City, Michigan, United States",Salamander Technologies provide computer programming services to organizations with the tools to manage day to day activities.,"1,869,525",,,,,,,,,,,,
Rdtronic,https://www.crunchbase.com/organization/rdtronic,2001-01-01,year,11-50,,https://www.rdtronic.com/,"3D Technology, Data Integration, GPS, Productivity Tools","Sainte-marie-du-bois, Basse-Normandie, France","Rdtronic is an IT company providing GPS-driven fleet and route management, flow optimization, 3D modeling, and geo-marketing services.","1,869,787",112,,-97.28%,,51,2,100%,50%,-50%,"10,298,007","6,597,910",178.32%
Senitec,https://www.crunchbase.com/organization/senitec,2001-01-01,day,1-10,,http://www.senitec.com,"Machinery Manufacturing, Manufacturing, Productivity Tools, Sensor","Duluth, Georgia, United States","Senitec deals with the manufacturing and sales of shadow inductive sensors, indicators and switching applications.","1,873,445",,,,,,,,,,,,
Aleph Polska,https://www.crunchbase.com/organization/aleph-polska,2001-03-22,day,1-10,,http://www.aleph.pl,"Product Design, Productivity Tools, Software","Warszawa, Mazowieckie, Poland","Aleph Polska develops a professional software for academic, public, and special libraries.","1,135,117","1,602","1,059.5",-32.49%,-99.63%,1,1.25,-21.9%,75%,25%,"6,008,531","1,305,554",27.76%
Alges,https://www.crunchbase.com/organization/alges,2001-03-26,day,11-50,,http://www.algesmac.it,"Hardware, Machinery Manufacturing, Manufacturing, Productivity Tools","Sarnico, Lombardia, Italy",Alges specializes in the design and manufacture of technical machines in various industries like the rubber industry.,"1,711,640",,,,,,,,,,,,
JS2 Aerospace,https://www.crunchbase.com/organization/js2-aerospace,2001-08-17,day,11-50,,https://www.js2aero.aero/,"Aerospace, Product Design, Productivity Tools, Professional Services","Coral Springs, Florida, United States","JS2 Aerospace offers design, management, services, consulting, solutions, tools and services.","2,205,020",,,,,,,,,,,,
Alfa Meccanica,https://www.crunchbase.com/organization/alfa-meccanica,2001-08-20,day,11-50,,http://www.alfameccanica.it,"Industrial Automation, Machinery Manufacturing, Manufacturing, Productivity Tools","Bergamo, Lombardia, Italy","Alfa Meccanica offers machine tools, pallet change, piece measurement, automation tool change, piece loading & unloading systems.","898,593",,,,,,,,,,,,
Toolstream,https://www.crunchbase.com/organization/toolstream,2001-09-04,day,101-250,,https://toolstream.com/,"Productivity Tools, Retail, Wholesale","Yeovil, Somerset, United Kingdom",ToolStream is a distributor of a range of hand and power tools as well as accessories utilized for a variety of jobs and work.,"432,838","14,331","13,935.83",34.61%,304.04%,"1,200",8.03,31.42%,27.82%,62.69%,"1,830,094","-284,807",-13.47%
CRMNEXT,https://www.crunchbase.com/organization/crmnext,2002-01-01,year,501-1000,"CRMNEXT is an enterprise CRM solution provider credited with the world's largest installations in financial sector. From Fortune 500 to start-ups, businesses across nine verticals have built profitable customer relationships via CRMNEXT. CRMNEXT eliminates the barriers between human and digital channels, enabling world-class, omni-channel customer interactions from a single platform. It recalibrates banks’ potential to grow engagement, drive profitability, and deliver innovation. CRMNEXT’s customers include global brands like Pfizer, State Bank of India, HDFC Bank, ICICI Bank, Axis Bank, Tata AIA, Reliance, Banco de Oro Philippines, National Bank of Oman, Pavers England etc. It is in Gartner Magic Quadrant for Lead management, Sales Force Automation and Customer Engagement. For more information,",http://www.crmnext.com,"CRM, Finance, Financial Services, Productivity Tools, Software","Noida, Uttar Pradesh, India",CRMNEXT provides CRM solutions to enterprise banks and financial service providers worldwide.,"6,693","125,764","34,469",862.82%,149.61%,"3,879",19.86,159.27%,20.9%,-48.86%,"470,063","-1,399,964",-74.86%
Ixaris,https://www.crunchbase.com/organization/ixaris,2002-01-01,year,51-100,"Ixaris is a payment optimization company with an extensive portfolio of Mastercard® and Visa virtual cards, helping companies make smarter payment choices. ​ Ixaris optimizes £billions in outbound payments for sectors including travel, media, and insurance. From launching Europe's first virtual cards to shaping the future of airline payments, innovation is in Ixaris' DNA. ​ Ixaris group companies are based in London, Brussels, and Malta.",http://www.ixaris.com,"Finance, Financial Services, FinTech, Payments, Productivity Tools","London, England, United Kingdom",Ixaris is a payment optimization company that helps businesses make smarter payment choices.,"21,343","812,036","616,236",16.38%,-22.65%,939,9.29,-17.6%,0.37%,-97.14%,"128,010","-10,100",-7.31%
Intentional Software,https://www.crunchbase.com/organization/intentional-software,2002-01-01,year,51-100,Intentional Software Corporation’s mission is to make the world’s knowledge more accessible and useful. They are creating the next generation of knowledge work by combining knowledge processing with group productivity. Their focus is to improve productivity and accelerate innovation by empowering knowledge workers to work more effectively with software programmers.,http://www.intentional.com,"Collaboration, Productivity Tools, Software","Bellevue, Washington, United States",Intentional Software Corporation’s mission is to make the world’s knowledge more accessible and useful.,"284,441",1,,,,0,1,,100%,,"10,927,292",,
XpertHR,https://www.crunchbase.com/organization/xperthr-6fc1,2002-01-01,year,1001-5000,"XpertHR is an HR resources company, that provides HR support, a reward strategy based on robust data and evidence, benchmarks key HR metrics, manages a global workforce, up-to-date employment law information, interactive workflows, podcasts, and webinars, survey analysis, training, data, tools.",https://www.xperthr.co.uk,"Consulting, Database, Employment, Human Resources, Productivity Tools, Training","New Providence, New Jersey, United States","XpertHR provides HR tools, legal services, and data services.","351,165","80,542","121,092.5",-22.13%,"1,000%",154,1.87,55.97%,55.65%,-38.96%,"632,898","114,960",22.2%
ACS Cloud Partners,https://www.crunchbase.com/organization/acs-cloud-partners,2002-01-01,year,11-50,,https://acscp.com/,"Cloud Data Services, Productivity Tools, Telecommunications","Torrance, California, United States","ACS Cloud Partners offers quotes internationally for all telecom and cloud services, including data, voice, and strategic cloud solutions.","564,855","1,409",,,,90,4,,0%,,"6,362,518",,
Modulift,https://www.crunchbase.com/organization/modulift,2002-01-01,year,11-50,,https://www.modulift.com,"Industrial, Manufacturing, Product Design, Productivity Tools","Poole, Dorset, United Kingdom","Modulift manufactures and supplies spreader beams, lifting beams, frames, lattice spreaders, shackles, slings, and heavy lifting equipment.","670,609",624,,"3,570.59%",54.05%,57,5,66.67%,0%,,"7,897,142","-2,507,005",-24.1%
Radius HDD Direct,https://www.crunchbase.com/organization/radius-hdd-direct,2002-01-01,year,101-250,,https://www.radiushdd.com,"E-Commerce, Industrial, Productivity Tools","Weatherford, Texas, United States",Radius HDD Direct is a digital store that offers drill pipes and productivity tools.,"760,238","1,964",,12.29%,-66.67%,6,1.93,-3.56%,7.13%,,"5,102,301","-101,821",-1.96%
Private Health News,https://www.crunchbase.com/organization/private-health-news,2002-01-01,year,11-50,,https://www.privatehealthnews.com/,"Digital Marketing, Electronic Health Record (EHR), Health Care, Productivity Tools, SEO","Cincinnati, Ohio, United States","Private Health News offers SAAS tools that assist healthcare providers in areas like digital marketing, SEO, databases, analytics & EHR.","780,215","14,692","22,550.33",-14.89%,-47.37%,70,1.3,-65.56%,81.32%,113.44%,"1,803,337","188,423",11.67%
Saar-Hartmetall USA,https://www.crunchbase.com/organization/saar-hartmetall-usa,2002-01-01,year,11-50,"Saar-Hartmetall USA is a distributor of tools and machines that will perform even under the most demanding conditions. For bar and amp; wire peeling tools, beveling tools for weld preparation, tube and amp pipe scarfing tools, and composite rolls and amp rings. They are ready to serve them with an extensive inventory, a knowledgeable staff, and the best products available on the market.",https://saarusa.com,"Industrial Manufacturing, Machinery Manufacturing, Manufacturing, Productivity Tools, Wholesale","Covington, Kentucky, United States","Saar-Hartmetall USA provides tube scarfing, impeder tools, beveling tools, beveling machines, and portable metalworking tools.","1,088,463","1,563",,437.11%,,20,1.94,93.6%,6.4%,-93.6%,"6,074,690","-3,106,630",-33.84%
Gentry Plastics,https://www.crunchbase.com/organization/gentry-plastics,2002-01-01,year,11-50,"Gentry Plastics tool shop presses, all with equipment set up to run engineering grade resins, including glass filled, high temp, etc. They pride themselves on being a moulder willing to take on the toughest plastic challenges and deliver an on-time product to their customers.",https://www.gentryplastics.com,"Customer Service, Manufacturing, Plastics and Rubber Manufacturing, Productivity Tools, Supply Chain Management","Gastonia, North Carolina, United States","Gentry Plastics is a manufacturer of injection molding, mould design, mould building, inserts, overmolding, and assembly.","1,117,832",,,,,,,,,,,,
Armtek Plant,https://www.crunchbase.com/organization/armtek-plant,2002-01-01,day,251-500,,http://armtec.com.ua,"Advertising, Laser, Productivity Tools","Kyiv, Kyyiv, Ukraine","ArmTek specializes in laser cutting , acrylic, screen printing and polymer painting for the production of advertising equipment.","1,262,478",,,,,,,,,,,,
